Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
La passion de Jeanne d'Arc,1928,"Biography, Drama, History",,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Kurt Richardson,Non-binary,Algeria,1983.0,2.0
The Boondock Saints,1999,,108 min,7.8,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Cody Walker,Male,Rwanda,,
The Terminator,1984,"Action, Sci-Fi",,8.0,,Brooke Hansen,,Comoros,1982.0,18.0
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130 min,7.6,,,Male,Heard Island and McDonald Islands,1964.0,1.0
Red River,1948,"Action, Adventure, Drama",133 min,7.8,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Christine Johnson,Male,Pakistan,1945.0,13.0
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,,,Tunisia,,4.0
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",,8.1,,Michael Baker,Female,India,1979.0,7.0
The Lego Movie,2014,"Animation, Action, Adventure",,,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Rebecca Todd,Female,Morocco,1958.0,9.0
Hot Fuzz,2007,"Action, Comedy, Mystery",121 min,7.8,A skilled London police officer is transferred to a small town with a dark secret.,Sabrina George,Non-binary,Mozambique,1955.0,8.0
The World's Fastest Indian,2005,"Biography, Drama, Sport",,7.8,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",Stephanie Smith,Female,Tuvalu,1985.0,10.0
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",,Male,United Kingdom,1944.0,12.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",143 min,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",,,,1945.0,10.0
Dancer in the Dark,2000,,140 min,8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Timothy Mora,Non-binary,Egypt,1957.0,10.0
A Wednesday,2008,"Action, Crime, Drama",104 min,8.1,,Rodney Olson,Male,Seychelles,1949.0,14.0
American Psycho,2000,"Comedy, Crime, Drama",101 min,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Nicole Gutierrez,Female,Argentina,1964.0,8.0
Do lok tin si,1995,"Comedy, Crime, Drama",99 min,7.7,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",James Stevens,Non-binary,,1985.0,
Sing Street,2016,"Comedy, Drama, Music",106 min,7.9,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,,Female,Madagascar,1990.0,2.0
The Help,2011,,146 min,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Vincent Cervantes,Male,Zambia,1980.0,6.0
Mystic River,2003,"Crime, Drama, Mystery",138 min,7.9,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Brittany Marshall,Female,Italy,,4.0
Lilja 4-ever,2002,"Crime, Drama",109 min,7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",Susan Hubbard,Non-binary,Bhutan,1987.0,18.0
Midnight Express,1978,"Biography, Crime, Drama",121 min,,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",Mary Erickson,Non-binary,Jersey,1964.0,3.0
300,2006,"Action, Drama",117 min,7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,,Female,Uruguay,1960.0,4.0
Hævnen,2010,"Drama, Romance",,7.6,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Michael Ibarra,Non-binary,British Virgin Islands,,3.0
Auf der anderen Seite,2007,Drama,,7.8,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Paul Rogers,Female,Bolivia,1946.0,5.0
The Odd Couple,1968,Comedy,,7.7,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Joshua Chambers,Non-binary,Argentina,,14.0
Rushmore,1998,"Comedy, Drama, Romance",,7.7,The extracurricular king of Rushmore Preparatory School is put on academic probation.,,Non-binary,Central African Republic,1940.0,14.0
Wo hu cang long,2000,"Action, Adventure, Fantasy",120 min,7.8,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Matthew Robertson,Non-binary,Andorra,,10.0
Love and Death,1975,"Comedy, War",85 min,7.7,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Daniel Brown,Female,Djibouti,1968.0,13.0
Strangers on a Train,1951,,,7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Christopher Wilson,,,1963.0,3.0
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama",,7.6,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Terri Lee,,Spain,1988.0,17.0
Udta Punjab,2016,"Action, Crime, Drama",148 min,7.8,,Gina Arnold,Female,,1957.0,11.0
Ocean's Eleven,2001,"Crime, Thriller",116 min,7.7,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Crystal Dennis,Female,Papua New Guinea,1946.0,
Tumbbad,2018,"Drama, Fantasy, Horror",104 min,,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Emily Malone,Male,Pakistan,1948.0,14.0
Finding Nemo,2003,"Animation, Adventure, Comedy",100 min,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",David Aguilar,Female,Finland,1945.0,9.0
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",100 min,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Michael Ramos,Female,Indonesia,1951.0,14.0
A Beautiful Mind,2001,"Biography, Drama",,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",,Non-binary,,1967.0,8.0
Edward Scissorhands,1990,"Drama, Fantasy, Romance",105 min,,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Kelly Mcdonald,Male,Sri Lanka,,3.0
The Intouchables,2011,"Biography, Comedy, Drama",112 min,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",,Female,,,2.0
"Aguirre, der Zorn Gottes",1972,"Action, Adventure, Biography",95 min,7.9,,Penny Archer,Non-binary,Barbados,,5.0
Tonari no Totoro,1988,"Animation, Family, Fantasy",86 min,,,Jeffrey Nicholson,Female,Korea,1972.0,
Gattaca,1997,,106 min,7.8,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Beverly Davis,Non-binary,,1966.0,19.0
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Jaime Reed,Non-binary,Eritrea,1946.0,1.0
Belle de jour,1967,"Drama, Romance",100 min,7.7,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Alan Walker,Non-binary,Niger,1941.0,6.0
The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",104 min,7.7,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Pamela Byrd DVM,Male,Northern Mariana Islands,1945.0,10.0
Batoru rowaiaru,2000,"Action, Adventure, Drama",114 min,7.6,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Mary Allen,Non-binary,Eritrea,1962.0,4.0
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Robert Weber,Female,,,2.0
Amélie,2001,,,8.3,,Danielle Orozco,Female,Aruba,,7.0
His Girl Friday,1940,"Comedy, Drama, Romance",92 min,7.9,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Sara Chandler,Non-binary,Macao,1978.0,
Dil Chahta Hai,2001,"Comedy, Drama, Romance",183 min,8.1,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Vickie Weber,Non-binary,Holy See (Vatican City State),1978.0,12.0
Detachment,2011,Drama,98 min,7.7,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Elizabeth Hill,,Monaco,1990.0,16.0
Perfetti sconosciuti,2016,"Comedy, Drama",96 min,7.8,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",Katherine Gardner,Male,Grenada,1960.0,1.0
Days of Heaven,1978,"Drama, Romance",94 min,7.8,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Helen Hardin,Non-binary,Kazakhstan,1964.0,9.0
The Thin Man,1934,"Comedy, Crime, Mystery",91 min,8.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",,,Anguilla,1940.0,8.0
The Searchers,1956,"Adventure, Drama, Western",119 min,7.9,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,,Non-binary,,1958.0,5.0
Baby Driver,2017,"Action, Crime, Drama",113 min,7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Robert Johnson,Female,Macao,1966.0,0.0
Kis Uykusu,2014,Drama,196 min,8.1,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Kayla Larsen,Male,Ireland,1964.0,12.0
Secrets & Lies,1996,,136 min,8.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Rebecca King,Non-binary,,1989.0,14.0
Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",95 min,7.7,,Stephen Marsh,Non-binary,France,1945.0,17.0
Bound by Honor,1993,"Crime, Drama",180 min,8.0,,Ian Osborne,Non-binary,Iraq,1986.0,17.0
The Last King of Scotland,2006,"Biography, Drama, History",123 min,7.7,,,Non-binary,Tajikistan,1975.0,7.0
Blazing Saddles,1974,"Comedy, Western",93 min,7.7,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Caleb Day,Female,Guinea-Bissau,,
Ford v Ferrari,2019,"Action, Biography, Drama",,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Bruce Meadows,Male,Switzerland,1976.0,
12 Angry Men,1957,"Crime, Drama",96 min,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,,Non-binary,Palestinian Territory,1973.0,3.0
Lucky Number Slevin,2006,"Action, Crime, Drama",110 min,7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Mark Williams,Male,Ethiopia,1950.0,4.0
The Count of Monte Cristo,2002,,131 min,7.8,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Lauren Landry,Male,Burkina Faso,1983.0,3.0
Match Point,2005,,124 min,,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Barbara Shea,,Guernsey,,0.0
The Trial of the Chicago 7,2020,"Drama, History, Thriller",129 min,7.8,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Luke Miller,Non-binary,,1950.0,1.0
Rockstar,2011,,159 min,7.7,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Christina Andrews DVM,Male,,1948.0,7.0
In the Heat of the Night,1967,"Crime, Drama, Mystery",,,A black police detective is asked to investigate a murder in a racially hostile southern town.,Stephen Sanchez,Male,Vanuatu,1957.0,4.0
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Kylie Mosley,Male,,1959.0,6.0
The Breakfast Club,1985,"Comedy, Drama",97 min,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Stephanie Huang,Female,Jordan,1957.0,12.0
American Beauty,1999,Drama,122 min,,,Glenn Cox,Female,Mauritania,1971.0,11.0
Abre los ojos,1997,,119 min,,,Brian Douglas,Female,Seychelles,1949.0,20.0
What We Do in the Shadows,2014,"Comedy, Horror",86 min,7.7,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",Cheryl Jackson,Male,Antigua and Barbuda,,20.0
Dunkirk,2017,"Action, Drama, History",,7.8,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Noah Boone,Female,Kyrgyz Republic,1950.0,2.0
The Princess Bride,1987,"Adventure, Family, Fantasy",98 min,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Ryan Hickman,Non-binary,Denmark,1967.0,18.0
Iron Man,2008,"Action, Adventure, Sci-Fi",126 min,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Antonio Acosta,,Turkmenistan,1957.0,18.0
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",,8.5,,Kristin Kennedy,Female,,1966.0,8.0
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130 min,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Rachael Jackson,Non-binary,Isle of Man,,2.0
Ray,2004,"Biography, Drama, Music",152 min,7.7,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Justin Richards,Non-binary,Guinea-Bissau,1970.0,
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",113 min,7.7,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Sylvia Wilson,Female,,1990.0,2.0
Mommy,2014,Drama,139 min,8.1,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",,Non-binary,Yemen,1944.0,6.0
Baahubali 2: The Conclusion,2017,"Action, Drama",167 min,8.2,,Nicole Hanson,Non-binary,Guadeloupe,1963.0,20.0
Se7en,1995,"Crime, Drama, Mystery",127 min,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Julia Grimes,,Tunisia,1956.0,14.0
Nelyubov,2017,Drama,,,,Sharon Adams,Non-binary,,1955.0,
How to Train Your Dragon,2010,"Animation, Action, Adventure",,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Andrew Johnson,Male,Antarctica (the territory South of 60 deg S),1986.0,2.0
The Wrestler,2008,"Drama, Sport",109 min,7.9,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Theresa Mcdaniel,Non-binary,Montserrat,1980.0,10.0
Zwartboek,2006,,,7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Jamie May,Male,Cuba,1971.0,3.0
The Incredibles,2004,"Animation, Action, Adventure",115 min,8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",David Pope,Non-binary,Gambia,1978.0,1.0
Cool Hand Luke,1967,"Crime, Drama",127 min,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Zachary Andrews,Female,Thailand,1979.0,
Papillon,1973,"Biography, Crime, Drama",151 min,8.0,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Charles Neal,,,,1.0
Dip huet seung hung,1989,"Action, Crime, Drama",111 min,7.8,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,,Female,,1969.0,5.0
Sling Blade,1996,Drama,,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Anthony Johnson,Non-binary,Egypt,1946.0,18.0
Big Hero 6,2014,"Animation, Action, Adventure",102 min,7.8,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",,Female,Netherlands Antilles,,13.0
Life of Pi,2012,"Adventure, Drama, Fantasy",,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Michael Reid,Female,,1959.0,12.0
Mandariinid,2013,"Drama, War",87 min,8.2,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Kimberly Schneider,Male,Saint Vincent and the Grenadines,1940.0,15.0
Django Unchained,2012,,165 min,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Lori Barnes,Female,Oman,1965.0,0.0
Captain Fantastic,2016,"Comedy, Drama",118 min,7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Susan Rivas,Non-binary,Czech Republic,1961.0,12.0
Cast Away,2000,"Adventure, Drama, Romance",143 min,,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Angel Berry,Female,Uzbekistan,1979.0,13.0
Chhichhore,2019,"Comedy, Drama",143 min,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Dr. Jay Romero MD,Non-binary,Palau,1964.0,5.0
The Little Mermaid,1989,"Animation, Family, Fantasy",83 min,7.6,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,Donna Floyd,Female,Taiwan,,11.0
True Romance,1993,"Crime, Drama, Romance",119 min,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",David Hess,Non-binary,Peru,1968.0,6.0
The Verdict,1982,Drama,,7.7,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Christopher Blackwell,Non-binary,Austria,1961.0,5.0
Sense and Sensibility,1995,"Drama, Romance",136 min,7.6,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Virginia Melton,Non-binary,Switzerland,1967.0,
3 Idiots,2009,"Comedy, Drama",170 min,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Bianca Leblanc,Non-binary,Ireland,1981.0,8.0
Hamlet,1996,Drama,242 min,7.7,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Susan White,Non-binary,Bouvet Island (Bouvetoya),1978.0,
The Matrix,1999,,136 min,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Alan Reeves,,Syrian Arab Republic,1948.0,4.0
"Swades: We, the People",2004,Drama,,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Meghan Evans,Non-binary,Turks and Caicos Islands,1959.0,1.0
American History X,1998,Drama,119 min,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,,Female,Czech Republic,,19.0
"4 luni, 3 saptamâni si 2 zile",2007,Drama,,7.9,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Lance Andrews,Male,Libyan Arab Jamahiriya,,19.0
Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",,,,Elizabeth Hawkins,Male,Pitcairn Islands,1984.0,19.0
Dial M for Murder,1954,"Crime, Thriller",105 min,,A former tennis player tries to arrange his wife's murder after learning of her affair.,,Female,Singapore,,7.0
This Is England,2006,"Crime, Drama",101 min,7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Jill Morrow,,Pitcairn Islands,1970.0,20.0
Rush,2013,"Action, Biography, Drama",123 min,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Yvette Kelley,Female,Mayotte,1960.0,9.0
Road to Perdition,2002,"Crime, Drama, Thriller",,7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Monica Smith,Male,,1951.0,15.0
City Lights,1931,"Comedy, Drama, Romance",87 min,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Michael Evans,Female,Somalia,,13.0
Searching,2018,"Drama, Mystery, Thriller",102 min,7.6,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Anthony Jenkins,Female,Luxembourg,1960.0,17.0
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",150 min,8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Timothy West,Non-binary,Slovakia (Slovak Republic),1958.0,15.0
The Social Network,2010,"Biography, Drama",120 min,7.7,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",Mark Watson,Male,Central African Republic,1987.0,1.0
Frankenstein,1931,"Drama, Horror, Sci-Fi",70 min,7.8,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,Nancy Holden,Non-binary,Congo,1984.0,2.0
Get Out,2017,,104 min,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Joseph Cervantes,Non-binary,Lesotho,1980.0,8.0
The Man Who Shot Liberty Valance,1962,"Drama, Western",123 min,8.1,,Gregory Williams,Female,Angola,1971.0,12.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108 min,7.8,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Dean Walker,Female,,1976.0,4.0
"Crna macka, beli macor",1998,"Comedy, Crime, Romance",127 min,8.1,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Scott Duncan,Female,Algeria,1990.0,13.0
En man som heter Ove,2015,"Comedy, Drama, Romance",116 min,7.7,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Heather Taylor,Female,Canada,1955.0,6.0
All Quiet on the Western Front,1930,"Drama, War",152 min,8.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Charles Brown,Non-binary,Nigeria,1960.0,20.0
Arsenic and Old Lace,1942,"Comedy, Crime, Thriller",118 min,8.0,,,Non-binary,Uruguay,1964.0,16.0
Giant,1956,"Drama, Western",201 min,7.6,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,,Female,Mexico,1957.0,7.0
Il postino,1994,"Biography, Comedy, Drama",108 min,7.7,,Terrence Douglas,Female,Qatar,1990.0,20.0
The Birds,1963,"Drama, Horror, Mystery",119 min,7.7,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Robert Dunn,Male,Lithuania,1965.0,
"Paris, Texas",1984,Drama,,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",,Non-binary,,1963.0,0.0
Haider,2014,"Action, Crime, Drama",160 min,8.1,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Mr. Steven Walker,Non-binary,Falkland Islands (Malvinas),1947.0,12.0
"Lock, Stock and Two Smoking Barrels",1998,,107 min,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Robert Powell,Non-binary,Qatar,1976.0,11.0
High Noon,1952,"Drama, Thriller, Western",85 min,,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Heather Wilson,Female,Suriname,1952.0,15.0
The Theory of Everything,2014,,123 min,,A look at the relationship between the famous physicist Stephen Hawking and his wife.,Jennifer Arias,Female,Montserrat,1977.0,17.0
Beauty and the Beast,1991,"Animation, Family, Fantasy",84 min,,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,,Female,Albania,1974.0,15.0
Bonnie and Clyde,1967,"Action, Biography, Crime",111 min,7.8,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",John Smith,Male,Saint Kitts and Nevis,1951.0,11.0
Arrival,2016,"Drama, Sci-Fi",116 min,,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,Brittany Nunez,Female,,,18.0
The Last of the Mohicans,1992,"Action, Adventure, Drama",112 min,7.7,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Lisa Harris,Male,Oman,1989.0,16.0
Tangled,2010,"Animation, Adventure, Comedy",,7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",,Female,Poland,1975.0,10.0
Idi i smotri,1985,"Drama, Thriller, War",142 min,8.3,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",,Non-binary,Poland,,
A Night at the Opera,1935,,96 min,7.9,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,Patrick Evans,Male,Malawi,1986.0,8.0
The Iron Giant,1999,,,8.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Tracy Nichols,Female,Kiribati,1969.0,5.0
The Godfather,1972,"Crime, Drama",175 min,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,,Female,Singapore,1985.0,0.0
